Loc   Type            StrRep
2,1   Keyword         class
2,7   Identifier      Average
3,1   Terminal        }
6,1   Keyword         void
6,6   Keyword         main
6,10  Terminal        (
6,11  Terminal        )
7,1   Terminal        }
8,1   Keyword         int
8,5   Identifier      n
8,6   Terminal        ,
8,7   Identifier      ave
8,10  Terminal        ;
9,1   Identifier      n
9,2   Assign          =
9,3   Identifier      In
9,5   Terminal        .
9,6   Keyword         int
9,9   Terminal        (
9,10  Terminal        )
9,11  Terminal        ;
10,1   Keyword         if
10,4   Terminal        (
10,5   Identifier      n
10,7   RelOp           >
10,9   Number          0
10,10  Terminal        )
11,1   Terminal        }
12,1   Keyword         int
12,5   Identifier      total
12,11  Assign          =
12,13  Identifier      sum_int
12,20  Terminal        (
12,21  Identifier      n
12,22  Terminal        )
12,23  Terminal        ;
13,1   Identifier      ave
13,5   Assign          =
13,6   Terminal        (
13,7   Identifier      total
13,12  NumOp           /
13,14  Identifier      n
13,15  Terminal        )
13,16  Terminal        ;
14,1   Keyword         System
14,7   Terminal        .
14,8   Keyword         out
14,11  Terminal        (
14,13  CharConst       'a'
14,16  Terminal        ,
14,17  CharConst       '='
14,20  Terminal        ,
14,21  Identifier      ave
14,24  Terminal        )
14,25  Terminal        ;
15,1   Terminal        {
16,1   Keyword         else
16,6   Keyword         System
16,12  Terminal        .
16,13  Keyword         out
16,16  Terminal        (
16,17  Error           Invalid character format ed

Generated 62 tokens.
