Loc   Type            StrRep
2,1   Keyword         class
2,7   Identifier      Average
3,1   Terminal        {
6,1   Keyword         void
6,6   Keyword         main
6,10  Terminal        (
6,11  Terminal        )
7,1   Terminal        {
8,1   Keyword         int
8,5   Identifier      n
8,6   Terminal        ,
8,7   Identifier      ave
8,10  Terminal        ;
9,1   Identifier      n
9,2   Assign          =
9,3   Identifier      In
9,5   Terminal        .
9,6   Keyword         int
9,9   Terminal        (
9,10  Terminal        )
9,11  Terminal        ;
10,1   Keyword         if
10,4   Terminal        (
10,5   Identifier      n
10,7   RelOp           >
10,9   Number          0
10,10  Terminal        )
11,1   Terminal        {
12,1   Keyword         int
12,5   Identifier      total
12,11  Assign          =
12,13  Identifier      sum_int
12,20  Terminal        (
12,21  Identifier      n
12,22  Terminal        )
12,23  Terminal        ;
13,1   Identifier      ave
13,5   Assign          =
13,6   Terminal        (
13,7   Identifier      total
13,12  NumOp           /
13,14  Identifier      n
13,15  Terminal        )
13,16  Terminal        ;
14,1   Keyword         System
14,7   Terminal        .
14,8   Keyword         out
14,11  Terminal        (
14,13  CharConst       'a'
14,16  Terminal        ,
14,17  CharConst       '='
14,20  Terminal        ,
14,21  Identifier      ave
14,24  Terminal        )
14,25  Terminal        ;
15,1   Terminal        }
16,1   Keyword         else
16,6   Keyword         System
16,12  Terminal        .
16,13  Keyword         out
16,16  Terminal        (
16,17  CharConst       'e'
16,20  Terminal        ,
16,21  CharConst       'r'
16,24  Terminal        ,
16,25  CharConst       'r'
16,28  Terminal        ,
16,29  CharConst       'o'
16,32  Terminal        ,
16,33  CharConst       'r'
16,36  Terminal        )
16,37  Terminal        ;
17,1   Terminal        }
18,1   Keyword         int
18,5   Identifier      sum_int
18,12  Terminal        (
18,13  Keyword         int
18,17  Identifier      m
18,18  Terminal        )
19,1   Terminal        {
20,1   Keyword         int
20,5   Identifier      i
20,6   Assign          =
20,7   Number          1
20,8   Terminal        ;
21,1   Keyword         int
21,4   Terminal        [
21,5   Terminal        ]
21,7   Identifier      val
21,11  Assign          =
21,13  Keyword         new
21,17  Keyword         int
21,20  Terminal        [
21,21  Number          100
21,24  Terminal        ]
21,25  Terminal        ;
22,1   Keyword         int
22,5   Identifier      res
22,8   Assign          =
22,10  Number          0
22,11  Terminal        ;
23,1   Keyword         while
23,7   Terminal        (
23,8   Identifier      i
23,10  RelOp           <=
23,12  Identifier      m
23,13  Terminal        )
24,1   Terminal        {
25,1   Identifier      val
25,4   Terminal        [
25,5   Identifier      i
25,6   Terminal        ]
25,8   Assign          =
25,9   Keyword         System
25,15  Terminal        .
25,16  Keyword         in
25,18  Terminal        .
25,19  Keyword         int
25,22  Terminal        (
25,23  Terminal        )
25,24  Terminal        ;
26,1   Identifier      res
26,5   Assign          =
26,7   Identifier      res
26,11  NumOp           +
26,13  Identifier      val
26,16  Terminal        [
26,17  Identifier      i
26,18  Terminal        ]
26,19  Terminal        ;
27,1   Identifier      i
27,3   Assign          =
27,5   Identifier      i
27,6   NumOp           +
27,7   Number          1
27,8   Terminal        ;
28,1   Terminal        }
29,1   Keyword         return
29,8   Identifier      res
29,11  Terminal        ;
30,1   Terminal        }
31,1   Terminal        }

Generated 142 tokens.
